Age,Education_Level,Years_At_Company,Years_In_Current_Role,Monthly_Income,Salary_Hike_Percent,Job_Level,Performance_Rating,Job_Satisfaction,Work_Life_Balance,Environment_Satisfaction,Relationship_Satisfaction,Training_Hours_Last_Year,Overtime,Remote_Work,Distance_From_Home,Commute_Time_Minutes,Number_Of_Projects,Team_Size,Manager_Rating,Absence_Days,Promotion_Last_5_Years,Stock_Option,Tenure_Stability_Ratio,Income_per_JobLevel,Satisfaction_Composite,Commute_Burden,Promotion_Stagnation_Flag,High_Overtime_Low_WLB,Gender_Male,Marital_Status_Married,Marital_Status_Single,Department_HR,Department_IT,Department_Marketing,Department_Operations,Department_Sales,Job_Role_Accountant,Job_Role_Auditor,Job_Role_Business Development,Job_Role_Content Strategist,Job_Role_Data Analyst,Job_Role_Finance Manager,Job_Role_Financial Analyst,Job_Role_HR Executive,Job_Role_HR Manager,Job_Role_IT Manager,Job_Role_Logistics Coordinator,Job_Role_Marketing Executive,Job_Role_Marketing Manager,Job_Role_Operations Executive,Job_Role_Operations Manager,Job_Role_Quality Analyst,Job_Role_Recruiter,Job_Role_SEO Specialist,Job_Role_Sales Executive,Job_Role_Sales Manager,Job_Role_Software Engineer,Job_Role_System Administrator,Job_Role_Training Specialist,Employment_Type_Full-Time,Employment_Type_Part-Time,Business_Travel_Never,Business_Travel_Rarely,Attrition
19,1,1,1,10453,17.8,3,4,3,2,4,5,18,0,1,9,26,6,11,3,10,0,1,0.5,3484.3333333333335,3.5,11.6,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0
36,1,5,5,8370,15.9,2,5,3,3,4,4,31,0,1,19,49,8,3,3,6,0,0,0.8333333333333334,4185.0,3.5,23.9,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,0
26,1,5,0,9290,15.0,4,1,4,4,4,4,52,0,1,13,47,5,7,3,8,0,1,0.0,2322.5,4.0,17.7,1,0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
42,0,0,0,4509,12.0,2,3,3,3,4,4,29,0,0,17,75,4,8,3,7,0,0,0.0,2254.5,3.5,24.5,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
57,2,1,1,10043,10.9,3,3,4,3,3,3,35,0,1,27,100,3,8,3,8,0,1,0.5,3347.6666666666665,3.25,37.0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0
43,2,2,2,6947,16.3,1,3,2,4,3,2,61,0,1,19,46,6,8,4,7,0,1,0.6666666666666666,6947.0,2.75,23.6,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0
22,0,1,0,6116,12.2,2,3,4,4,2,4,27,1,1,6,17,4,16,3,5,0,1,0.0,3058.0,3.5,7.7,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
26,1,2,2,7321,17.2,2,3,3,5,3,4,12,0,1,10,26,6,6,4,10,0,0,0.6666666666666666,3660.5,3.75,12.6,0,0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
25,1,5,2,8909,7.1,2,2,3,3,5,3,41,0,1,8,24,2,6,3,11,0,1,0.3333333333333333,4454.5,3.5,10.4,1,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
40,1,10,4,11733,18.9,4,4,2,1,3,3,42,0,0,21,83,5,10,1,7,0,1,0.36363636363636365,2933.25,2.25,29.3,1,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1
39,2,2,1,7790,14.0,2,3,3,4,4,2,23,0,1,6,18,5,3,4,8,0,0,0.3333333333333333,3895.0,3.25,7.8,0,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0
30,2,12,7,11359,14.6,3,4,4,2,2,4,34,1,0,33,106,3,10,4,1,0,1,0.5384615384615384,3786.3333333333335,3.0,43.6,1,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
39,3,5,0,13403,15.3,3,4,3,5,4,3,42,0,1,13,48,6,13,2,7,0,1,0.0,4467.666666666667,3.75,17.8,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0
50,2,1,1,7083,19.2,2,3,4,2,2,1,46,1,1,14,49,1,6,3,7,0,0,0.5,3541.5,2.25,18.9,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,1
39,1,6,3,9561,18.8,2,4,4,3,3,3,61,1,1,16,56,4,11,4,5,1,0,0.42857142857142855,4780.5,3.25,21.6,0,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
35,2,16,5,15762,15.2,4,3,2,2,3,2,60,1,0,7,26,4,10,1,3,0,1,0.29411764705882354,3940.5,2.25,9.6,1,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1
54,1,8,3,10783,17.6,3,4,1,4,3,5,47,1,0,13,33,2,7,2,7,1,1,0.3333333333333333,3594.3333333333335,3.25,16.3,0,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
55,2,20,4,14522,13.1,5,3,3,3,5,4,30,1,1,4,18,4,15,3,12,0,1,0.19047619047619047,2904.4,3.75,5.8,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,1
33,0,9,5,5584,12.8,2,3,3,3,4,2,22,0,1,25,67,8,6,3,4,0,0,0.5,2792.0,3.0,31.7,1,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
37,1,2,1,4689,16.0,1,3,3,4,4,3,49,0,0,13,35,1,13,3,5,0,0,0.3333333333333333,4689.0,3.5,16.5,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
50,1,1,0,7989,16.1,1,5,1,3,4,3,60,0,0,8,24,3,6,4,6,0,1,0.0,7989.0,2.75,10.4,0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
35,3,3,2,12502,12.4,3,2,3,5,2,1,82,0,0,24,87,1,8,4,5,0,1,0.5,4167.333333333333,2.75,32.7,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
35,1,7,1,9211,14.9,3,4,5,1,4,5,15,1,0,6,7,4,9,3,7,1,1,0.125,3070.3333333333335,3.75,6.7,0,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1
24,1,2,0,7888,11.4,2,3,4,2,3,3,26,1,0,5,15,4,12,4,11,0,0,0.0,3944.0,3.0,6.5,0,1,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,1
42,1,8,3,10115,14.1,3,4,1,3,2,5,35,0,0,13,28,3,7,4,3,0,1,0.3333333333333333,3371.6666666666665,2.75,15.8,1,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,0
24,1,1,0,6965,16.9,1,4,1,4,5,4,41,1,0,8,19,3,10,2,11,0,0,0.0,6965.0,3.5,9.9,0,0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,1
28,0,6,3,6848,16.4,2,4,3,2,3,3,7,0,1,13,27,6,6,3,4,1,0,0.42857142857142855,3424.0,2.75,15.7,0,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
28,3,5,2,16076,10.0,3,4,2,4,2,4,42,0,0,8,26,6,8,3,4,1,1,0.3333333333333333,5358.666666666667,3.0,10.6,0,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
47,1,1,1,7429,14.1,2,3,4,3,3,3,42,0,1,21,56,3,6,2,9,0,0,0.5,3714.5,3.25,26.6,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
38,0,0,0,5675,11.0,2,3,4,4,4,3,40,1,0,28,83,3,12,5,5,0,0,0.0,2837.5,3.75,36.3,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
25,1,3,3,5128,12.0,1,2,3,2,3,3,27,0,0,10,34,3,9,4,2,0,0,0.75,5128.0,2.75,13.4,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
36,0,3,3,10519,14.4,4,4,3,3,3,3,54,1,0,25,122,5,4,5,8,0,1,0.75,2629.75,3.0,37.2,0,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
21,2,3,2,7684,17.4,1,5,3,4,1,3,21,0,0,7,29,3,12,4,7,0,0,0.5,7684.0,2.75,9.9,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
30,1,1,0,4407,12.5,1,3,4,3,3,2,46,1,0,34,135,2,5,3,5,0,0,0.0,4407.0,3.0,47.5,0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
25,1,0,0,6645,15.8,2,3,2,3,4,3,32,1,0,28,102,3,2,4,5,0,0,0.0,3322.5,3.0,38.2,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1
34,2,12,3,12747,14.9,3,2,2,3,5,2,18,0,0,22,64,4,2,5,2,0,1,0.23076923076923078,4249.0,3.0,28.4,1,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1
38,2,3,3,12900,16.7,3,4,3,3,4,3,71,0,1,4,15,1,8,2,3,0,1,0.75,4300.0,3.25,5.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
42,2,3,3,9235,15.4,3,3,4,4,5,3,29,1,0,34,117,3,12,2,9,0,1,0.75,3078.3333333333335,4.0,45.7,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0
60,0,11,11,13759,14.7,4,5,3,3,2,4,57,0,0,2,5,5,8,4,8,1,1,0.9166666666666666,3439.75,3.0,2.5,0,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
54,1,2,1,5649,14.6,3,3,4,5,3,2,32,0,1,18,68,5,5,4,5,0,1,0.3333333333333333,1883.0,3.5,24.8,0,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
44,1,18,7,13515,14.2,4,3,3,3,2,5,71,0,0,19,55,8,3,3,7,0,1,0.3684210526315789,3378.75,3.25,24.5,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
45,2,2,0,6205,17.7,1,3,2,2,4,3,20,0,1,15,43,5,5,4,2,0,0,0.0,6205.0,2.75,19.3,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
43,2,14,0,15039,14.3,4,5,4,2,4,4,48,0,1,8,21,3,10,3,5,1,1,0.0,3759.75,3.5,10.1,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0
29,1,11,10,10726,12.1,4,1,3,2,2,4,18,0,1,35,147,2,8,4,4,0,1,0.8333333333333334,2681.5,2.75,49.7,1,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,1
48,1,8,6,14006,16.3,4,3,3,3,2,3,11,0,1,3,11,1,10,4,4,0,1,0.6666666666666666,3501.5,2.75,4.1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
57,1,3,3,4845,13.8,1,2,3,3,3,4,67,1,0,19,43,5,9,2,7,0,0,0.75,4845.0,3.25,23.3,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
30,1,10,1,10845,12.6,3,3,5,4,4,3,22,0,1,16,51,2,7,4,7,0,1,0.09090909090909091,3615.0,4.0,21.1,1,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
18,1,0,0,6448,16.1,1,4,2,1,3,4,8,0,1,15,41,2,10,3,3,0,0,0.0,6448.0,2.5,19.1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,1
49,1,5,3,5628,16.3,2,3,2,5,4,2,6,1,0,17,70,7,11,3,5,0,0,0.5,2814.0,3.25,24.0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
24,1,3,0,9921,7.4,3,2,4,3,4,3,28,1,1,14,23,4,2,5,5,0,1,0.0,3307.0,3.5,16.3,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
33,2,6,6,11411,15.2,3,4,5,4,3,3,58,1,0,7,24,4,5,1,5,0,1,0.8571428571428571,3803.6666666666665,3.75,9.4,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
48,1,2,2,6342,18.1,1,3,2,2,3,4,21,0,0,10,27,3,2,2,3,0,0,0.6666666666666666,6342.0,2.75,12.7,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
30,0,6,0,4725,16.3,2,5,4,3,3,4,48,1,1,13,40,5,11,4,6,0,1,0.0,2362.5,3.5,17.0,1,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0
27,2,9,9,18994,20.7,5,4,2,3,1,3,47,0,0,12,47,1,13,2,4,1,1,0.9,3798.8,2.25,16.7,0,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
31,1,9,9,9948,16.5,4,4,5,3,4,3,26,0,0,14,46,3,6,3,6,1,1,0.9,2487.0,3.75,18.6,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
51,3,2,1,11438,15.0,2,3,4,3,2,2,30,0,0,12,37,9,12,2,5,0,0,0.3333333333333333,5719.0,2.75,15.7,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
44,1,4,3,8723,18.3,3,5,3,1,3,3,33,0,0,16,54,6,13,4,4,0,1,0.6,2907.6666666666665,2.5,21.4,1,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0
27,1,4,4,5496,22.7,1,3,3,4,5,5,45,0,0,1,5,5,12,3,7,0,0,0.8,5496.0,4.25,1.5,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
46,1,1,1,6378,8.8,1,4,4,3,3,4,37,0,1,32,120,8,13,3,4,0,0,0.5,6378.0,3.5,44.0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
36,0,1,0,4204,17.1,1,4,1,3,3,3,33,1,1,10,28,8,5,5,7,0,0,0.0,4204.0,2.5,12.8,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
35,1,6,5,8744,15.8,3,4,3,3,2,3,52,0,0,25,39,6,5,4,2,0,1,0.7142857142857143,2914.6666666666665,2.75,28.9,1,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
49,2,6,2,9388,11.0,3,2,3,2,2,4,32,1,1,28,89,5,10,3,5,0,1,0.2857142857142857,3129.3333333333335,2.75,36.9,1,1,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,1
28,2,1,1,7340,10.4,2,2,4,3,3,2,0,0,0,11,38,4,5,1,3,0,0,0.5,3670.0,3.0,14.8,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,1
42,2,3,2,8120,19.3,1,3,2,3,3,5,42,1,0,6,17,6,12,3,7,0,0,0.5,8120.0,3.25,7.7,0,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0
55,1,6,2,9706,16.0,3,3,4,3,3,4,0,0,0,11,31,2,7,3,4,0,1,0.2857142857142857,3235.3333333333335,3.5,14.1,1,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
38,1,2,2,6566,13.8,2,5,4,1,3,4,40,0,0,23,61,4,6,2,0,0,0,0.6666666666666666,3283.0,3.0,29.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1
48,3,4,2,6884,15.7,2,2,1,4,2,4,17,0,1,20,51,1,11,2,3,0,1,0.4,3442.0,2.75,25.1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
42,2,13,1,8983,10.0,3,1,3,4,4,3,28,0,0,11,44,4,9,2,5,0,1,0.07142857142857142,2994.3333333333335,3.5,15.4,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0
28,1,4,4,7692,21.0,3,3,2,1,4,3,61,1,1,5,19,5,9,3,4,0,1,0.8,2564.0,2.5,6.9,1,1,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
31,2,1,0,7002,8.4,1,3,1,4,3,3,19,1,0,18,58,4,11,2,9,0,0,0.0,7002.0,2.75,23.8,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,1
24,2,6,0,5956,19.0,1,3,2,2,4,3,33,0,0,14,38,2,9,3,3,0,1,0.0,5956.0,2.75,17.8,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
41,2,5,5,8775,13.3,2,3,3,5,4,4,36,0,0,33,119,4,14,2,8,0,0,0.8333333333333334,4387.5,4.0,44.9,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,0
