Employee_ID,Attrition_Risk_Score,Attrition
200216,69,Yes
200217,36,No
200218,39,No
200219,41,No
200220,74,Yes
200221,46,Yes
200222,53,No
200223,64,Yes
200224,67,Yes
200225,69,No
200226,61,Yes
200227,23,No
200228,54,Yes
200229,21,No
200230,12,No
200231,69,Yes
200232,57,No
200233,37,No
200234,28,No
200235,49,No
200236,18,No
200237,57,Yes
200238,52,No
200239,63,Yes
200240,39,Yes
200241,33,No
200242,70,Yes
200243,44,No
200244,75,Yes
200245,77,Yes
200246,37,No
200247,6,No
200248,74,Yes
200249,0,No
200250,63,No
200251,80,Yes
200252,29,No
200253,37,No
200254,15,No
200255,50,No
200256,2,No
200257,62,No
200258,32,No
200259,35,No
200260,29,Yes
200261,72,Yes
200262,48,Yes
200263,56,Yes
200264,77,Yes
200265,49,No
200266,59,Yes
200267,32,No
200268,34,No
200269,41,No
200270,28,No
200271,38,No
200272,39,No
200273,42,Yes
200274,35,Yes
200275,51,No
200276,40,Yes
200277,65,Yes
200278,17,No
200279,48,No
200280,65,Yes
200281,32,No
200282,49,No
200283,67,Yes
200284,24,No
200285,80,Yes
200286,35,No
200287,10,No
200288,22,No
200289,41,No
200290,84,Yes
200291,68,Yes
200292,43,No
200293,36,No
200294,3,No
200295,33,No
200296,39,No
200297,82,Yes
200298,57,Yes
200299,64,No
200300,24,No
200301,65,Yes
200302,37,No
200303,33,No
200304,42,No
200305,48,Yes
200306,66,No
200307,59,Yes
200308,0,No
200309,79,Yes
200310,62,Yes
200311,43,Yes
200312,51,No
200313,30,No
200314,31,No
200315,83,Yes
200316,64,No
200317,72,Yes
200318,88,Yes
200319,66,Yes
200320,33,No
200321,75,No
200322,70,Yes
200323,47,Yes
200324,47,No
200325,30,No
200326,74,Yes
200327,51,No
200328,35,Yes
200329,70,No
200330,58,Yes
200331,50,No
200332,20,No
200333,34,No
200334,85,Yes
200335,23,No
200336,55,No
200337,34,No
200338,28,No
200339,41,No
200340,64,Yes
200341,48,No
200342,93,Yes
200343,25,No
200344,48,No
200345,43,No
200346,36,No
200347,48,No
200348,32,No
200349,51,No
200350,37,No
200351,69,No
200352,54,No
200353,4,No
200354,2,No
200355,38,Yes
200356,36,Yes
200357,76,Yes
200358,48,No
200359,56,No
200360,18,No
200361,26,No
200362,63,Yes
200363,70,Yes
200364,23,No
200365,51,Yes
200366,54,No
200367,35,No
200368,44,No
200369,90,Yes
200370,46,No
200371,39,No
200372,77,No
200373,21,No
200374,38,No
200375,4,No
200376,75,Yes
200377,100,Yes
200378,16,No
200379,24,No
200380,54,No
200381,51,Yes
200382,59,Yes
200383,27,No
200384,17,No
200385,84,Yes
200386,60,Yes
200387,55,No
200388,41,No
200389,58,No
200390,51,No
200391,63,Yes
200392,27,Yes
200393,82,Yes
200394,69,Yes
200395,44,No
200396,16,No
200397,54,Yes
200398,29,No
200399,40,No
200400,41,No
200401,69,No
200402,59,Yes
200403,34,No
200404,43,No
200405,70,Yes
200406,39,Yes
200407,38,No
200408,21,No
200409,25,No
200410,53,No
200411,45,No
200412,75,Yes
200413,29,No
200414,63,No
200415,74,Yes
200416,46,No
200417,27,No
200418,37,No
200419,46,No
200420,74,Yes
200421,56,Yes
200422,12,No
200423,42,No
200424,12,No
200425,38,No
200426,65,Yes
200427,1,No
200428,37,No
200429,84,Yes
200430,46,No
200431,94,Yes
200432,46,Yes
200433,44,No
200434,61,Yes
200435,56,No
200436,65,Yes
200437,3,No
200438,36,No
200439,24,No
200440,50,No
200441,42,No
200442,45,Yes
200443,71,No
200444,59,No
200445,44,No
200446,43,No
200447,0,No
200448,46,No
200449,75,No
200450,30,No
200451,61,Yes
200452,61,No
200453,62,Yes
200454,49,No
200455,56,Yes
200456,50,No
200457,32,No
200458,57,Yes
200459,66,No
200460,27,No
200461,65,Yes
200462,20,No
200463,61,Yes
200464,47,No
200465,24,No
200466,60,Yes
200467,34,No
200468,47,Yes
200469,30,No
200470,79,Yes
200471,44,No
200472,37,No
200473,42,No
200474,19,No
200475,71,Yes
200476,45,No
200477,50,No
200478,6,No
200479,43,No
200480,20,No
200481,45,No
200482,25,No
200483,35,No
200484,57,Yes
200485,30,No
200486,55,Yes
200487,85,Yes
200488,63,Yes
200489,14,No
200490,26,No
200491,78,Yes
200492,48,No
200493,76,No
200494,64,Yes
200495,70,Yes
200496,46,No
200497,34,No
200498,37,No
200499,73,Yes
200500,97,Yes
200501,37,No
200502,62,Yes
200503,44,No
200504,77,No
200505,55,No
200506,54,No
200507,54,No
200508,33,No
200509,32,No
200510,75,Yes
200511,50,Yes
200512,81,Yes
200513,59,No
200514,70,No
200515,77,Yes
200516,42,Yes
200517,50,Yes
200518,33,No
200519,40,No
200520,37,Yes
200521,100,Yes
200522,53,No
200523,50,Yes
200524,83,Yes
200525,16,No
200526,59,No
200527,20,No
200528,46,No
200529,100,Yes
200530,26,No
200531,61,Yes
200532,68,Yes
200533,65,No
200534,18,No
200535,9,No
200536,49,No
200537,27,No
200538,52,No
200539,38,No
200540,29,No
200541,45,No
200542,66,No
200543,69,Yes
200544,51,No
200545,34,No
200546,37,No
200547,74,Yes
200548,44,Yes
200549,78,Yes
200550,63,Yes
200551,59,Yes
200552,23,No
200553,32,No
200554,22,No
200555,50,No
200556,16,No
200557,34,Yes
200558,72,Yes
200559,33,Yes
200560,71,Yes
200561,18,No
200562,56,No
200563,21,No
200564,40,No
200565,50,Yes
200566,57,No
200567,14,No
200568,46,No
200569,50,No
200570,70,Yes
200571,33,Yes
200572,70,No
200573,76,Yes
200574,37,No
200575,16,No
200576,69,Yes
200577,59,No
200578,73,Yes
200579,62,Yes
200580,11,No
200581,41,Yes
200582,37,Yes
200583,34,No
200584,59,No
200585,20,No
200586,35,No
200587,18,No
200588,71,Yes
200589,26,No
200590,19,No
200591,59,Yes
200592,38,No
200593,27,No
200594,40,No
200595,76,Yes
200596,30,No
200597,39,No
200598,77,Yes
200599,44,No
200600,55,Yes
200601,59,No
200602,57,Yes
200603,54,No
200604,35,No
200605,38,No
200606,63,Yes
200607,59,Yes
200608,36,No
200609,77,Yes
200610,37,No
200611,24,No
200612,83,Yes
200613,84,Yes
200614,41,No
200615,70,Yes
200616,63,Yes
200617,18,No
200618,42,No
200619,2,No
200620,38,Yes
200621,38,No
200622,22,No
200623,53,Yes
200624,37,Yes
200625,92,Yes
200626,47,No
200627,65,Yes
200628,46,No
200629,44,No
200630,41,No
200631,22,No
200632,81,Yes
200633,57,No
200634,60,No
200635,33,No
200636,36,Yes
200637,47,No
200638,6,No
200639,84,Yes
200640,51,No
200641,57,No
200642,44,No
200643,44,No
200644,62,Yes
200645,64,No
200646,31,No
200647,24,No
200648,48,No
200649,71,Yes
200650,51,Yes
200651,44,No
200652,51,Yes
200653,70,Yes
200654,41,No
200655,41,No
200656,31,No
200657,43,No
200658,19,No
200659,55,No
200660,54,No
200661,26,No
200662,33,No
200663,51,Yes
200664,58,No
200665,71,No
200666,70,Yes
200667,41,No
200668,48,Yes
200669,56,Yes
200670,42,No
200671,15,No
200672,36,No
200673,56,Yes
200674,59,Yes
200675,46,No
200676,65,Yes
200677,48,No
200678,55,Yes
200679,39,No
200680,96,Yes
200681,46,Yes
200682,57,No
200683,44,No
200684,42,No
200685,32,No
200686,43,No
200687,19,No
200688,85,Yes
200689,16,No
200690,46,Yes
200691,62,No
200692,88,Yes
200693,29,No
200694,39,No
200695,54,No
200696,84,Yes
200697,59,Yes
200698,68,No
200699,35,No
200700,51,No
200701,23,No
200702,34,No
200703,29,No
200704,52,No
200705,39,No
200706,63,Yes
200707,52,Yes
200708,55,No
200709,87,Yes
200710,44,No
200711,37,No
200712,37,No
200713,60,Yes
200714,69,Yes
200715,100,Yes
200716,68,Yes
200717,62,Yes
200718,33,No
200719,43,No
200720,26,No
200721,60,No
200722,64,Yes
200723,38,No
200724,48,Yes
200725,47,Yes
200726,45,No
200727,61,No
200728,27,No
200729,43,No
200730,55,No
200731,32,No
200732,23,Yes
200733,17,No
200734,4,No
200735,65,No
200736,47,No
200737,44,No
200738,5,No
200739,6,No
200740,50,No
200741,60,Yes
200742,48,Yes
200743,63,No
200744,61,Yes
200745,56,No
200746,76,Yes
200747,41,No
200748,19,No
200749,75,Yes
200750,78,Yes
200751,46,No
200752,32,No
200753,0,No
200754,39,No
200755,73,Yes
200756,38,No
200757,54,No
200758,34,No
200759,20,No
200760,45,No
200761,43,No
200762,76,Yes
200763,56,Yes
200764,41,No
200765,57,No
200766,75,No
200767,51,No
200768,31,No
200769,66,No
200770,31,No
200771,56,No
200772,44,No
200773,18,No
200774,42,No
200775,40,No
200776,24,No
200777,59,No
200778,43,No
200779,63,No
200780,100,Yes
200781,57,Yes
200782,59,No
200783,61,No
200784,50,No
200785,75,Yes
200786,56,No
200787,94,Yes
200788,32,No
200789,21,No
200790,51,Yes
200791,36,Yes
200792,25,No
200793,59,Yes
200794,68,Yes
200795,72,Yes
200796,47,No
200797,50,No
200798,9,No
200799,31,No
200800,59,No
200801,77,No
200802,27,No
200803,60,No
200804,55,No
200805,65,Yes
200806,21,No
200807,37,No
200808,54,No
200809,28,No
200810,49,No
200811,26,No
200812,47,Yes
200813,69,Yes
200814,40,No
200815,38,No
200816,52,Yes
200817,51,No
200818,59,Yes
200819,34,No
200820,26,No
200821,62,Yes
200822,42,No
200823,46,No
200824,21,No
200825,47,No
200826,63,No
200827,50,Yes
200828,23,No
200829,41,No
200830,76,Yes
200831,38,No
200832,22,No
200833,16,No
200834,55,Yes
200835,30,No
200836,46,Yes
200837,17,No
200838,66,No
200839,52,No
200840,31,No
200841,50,No
200842,51,No
200843,16,No
200844,8,No
200845,51,No
200846,56,No
200847,67,No
200848,23,No
200849,53,Yes
200850,58,Yes
200851,21,No
200852,57,No
200853,45,No
200854,42,No
200855,40,No
200856,77,Yes
200857,30,No
200858,69,Yes
200859,43,No
200860,64,Yes
200861,49,No
200862,17,No
200863,100,Yes
200864,22,No
200865,55,No
200866,12,No
200867,39,No
200868,90,Yes
200869,55,Yes
200870,35,No
200871,17,No
200872,25,No
200873,34,No
200874,72,No
200875,11,No
200876,70,Yes
200877,63,No
200878,57,Yes
200879,58,No
200880,40,Yes
200881,96,Yes
200882,35,No
200883,61,Yes
200884,59,Yes
200885,51,Yes
200886,55,No
200887,69,No
200888,0,No
200889,40,No
200890,41,No
200891,15,No
200892,75,Yes
200893,63,No
200894,74,Yes
200895,56,No
200896,46,No
200897,59,Yes
200898,41,Yes
200899,3,No
200900,48,Yes
200901,70,Yes
200902,38,No
200903,14,No
200904,45,No
200905,46,No
200906,88,Yes
200907,61,Yes
200908,63,Yes
200909,64,No
200910,17,No
200911,46,No
200912,28,No
200913,37,No
200914,49,No
200915,56,No
200916,48,No
200917,18,No
200918,22,No
200919,62,Yes
200920,54,No
200921,15,No
200922,75,Yes
200923,52,No
200924,56,No
200925,14,No
200926,23,No
200927,22,No
200928,43,No
200929,70,Yes
200930,46,Yes
200931,21,No
200932,45,No
200933,63,No
200934,88,Yes
200935,72,Yes
200936,56,Yes
200937,50,No
200938,14,No
200939,43,No
200940,51,No
200941,29,No
200942,46,No
200943,55,Yes
200944,54,Yes
200945,19,No
200946,31,No
200947,35,No
200948,42,Yes
200949,24,No
200950,62,No
200951,41,No
200952,18,No
200953,52,Yes
200954,78,Yes
200955,26,No
200956,19,No
200957,43,No
200958,18,No
200959,15,No
200960,95,Yes
200961,58,No
200962,63,Yes
200963,68,Yes
200964,42,No
200965,22,No
200966,39,Yes
200967,34,No
200968,59,Yes
200969,94,Yes
200970,47,Yes
200971,81,Yes
200972,46,No
200973,28,No
200974,6,No
200975,25,No
200976,32,No
200977,0,No
200978,42,No
200979,71,Yes
200980,62,Yes
200981,97,Yes
200982,100,Yes
200983,12,No
200984,38,Yes
200985,56,Yes
200986,27,No
200987,52,Yes
200988,14,No
200989,45,No
200990,42,No
200991,56,No
200992,1,No
200993,32,No
200994,47,No
200995,48,Yes
200996,40,No
200997,58,Yes
200998,52,Yes
200999,36,No
201000,45,No
201001,48,Yes
201002,34,No
201003,16,No
201004,43,No
201005,30,No
201006,79,Yes
201007,22,No
201008,55,No
201009,29,No
201010,76,Yes
201011,51,No
201012,50,No
201013,62,Yes
201014,45,No
201015,69,No
201016,32,No
201017,20,No
201018,24,No
201019,43,No
201020,27,No
201021,27,No
201022,30,No
201023,28,No
201024,42,No
201025,23,No
201026,40,No
201027,35,Yes
201028,67,Yes
201029,78,Yes
201030,54,No
201031,26,No
201032,72,Yes
201033,80,Yes
201034,29,No
201035,32,No
201036,29,No
201037,51,Yes
201038,75,Yes
201039,37,No
201040,86,Yes
201041,51,No
201042,69,Yes
201043,57,No
201044,41,Yes
201045,27,No
201046,23,No
201047,76,Yes
201048,66,Yes
201049,26,No
201050,52,No
201051,45,No
201052,45,No
201053,96,Yes
201054,57,No
201055,24,No
201056,56,Yes
201057,32,No
201058,55,No
201059,75,Yes
201060,21,No
201061,59,Yes
201062,19,No
201063,41,No
201064,63,Yes
201065,60,No
201066,93,Yes
201067,37,No
201068,41,No
201069,28,No
201070,42,No
201071,28,No
201072,43,No
201073,62,Yes
201074,53,No
201075,57,Yes
201076,63,Yes
201077,13,No
201078,85,Yes
201079,49,Yes
201080,20,No
201081,62,Yes
201082,32,Yes
201083,72,Yes
201084,30,No
201085,73,Yes
201086,42,Yes
201087,46,No
201088,65,No
201089,83,Yes
201090,24,No
201091,65,Yes
201092,67,Yes
201093,61,Yes
201094,100,Yes
201095,19,No
201096,72,No
201097,51,Yes
201098,37,No
201099,20,No
201100,47,No
201101,61,No
201102,14,No
201103,46,No
201104,85,No
201105,17,No
201106,23,No
201107,52,Yes
201108,37,No
201109,85,Yes
201110,47,No
201111,31,No
201112,29,No
201113,54,No
201114,44,No
201115,45,No
201116,31,No
201117,46,No
201118,46,No
201119,77,Yes
201120,28,No
201121,26,No
201122,23,No
201123,53,No
201124,77,Yes
201125,70,Yes
201126,29,No
201127,56,Yes
201128,78,Yes
201129,46,No
201130,50,No
201131,55,No
201132,38,No
201133,24,No
201134,37,No
201135,46,No
201136,52,No
201137,70,Yes
201138,53,No
201139,46,No
201140,76,Yes
201141,67,Yes
201142,38,No
201143,82,Yes
201144,35,No
201145,28,No
201146,41,No
201147,31,No
201148,14,No
201149,72,Yes
201150,37,No
201151,37,No
201152,11,No
201153,36,No
201154,27,No
201155,45,No
201156,41,No
201157,44,No
201158,74,No
201159,60,No
201160,62,No
201161,54,No
201162,69,Yes
201163,79,Yes
201164,56,No
201165,39,No
201166,73,Yes
201167,30,No
201168,3,No
201169,52,Yes
201170,42,No
201171,33,No
201172,47,No
201173,53,No
201174,54,No
201175,41,No
201176,53,Yes
201177,62,Yes
201178,28,No
201179,76,Yes
201180,50,No
201181,65,Yes
201182,61,No
201183,24,No
201184,33,No
201185,59,No
201186,28,No
201187,4,No
201188,32,No
201189,0,No
201190,84,Yes
201191,36,Yes
201192,52,No
201193,29,No
201194,72,Yes
201195,17,No
201196,67,Yes
201197,48,No
201198,0,No
201199,31,No
201200,20,No
201201,46,No
201202,53,No
201203,40,No
201204,45,Yes
201205,45,Yes
201206,28,No
201207,1,No
201208,58,Yes
201209,78,Yes
201210,67,Yes
201211,30,No
201212,38,No
201213,18,No
201214,49,No
201215,47,No
201216,37,No
201217,49,No
201218,57,Yes
201219,26,No
201220,64,No
201221,33,No
201222,67,Yes
201223,42,No
201224,29,No
201225,43,No
201226,24,No
201227,28,No
201228,62,No
201229,87,Yes
201230,26,No
201231,72,No
201232,45,No
201233,42,No
201234,2,No
201235,31,No
201236,33,No
201237,56,No
201238,57,No
201239,19,No
201240,20,No
201241,7,No
201242,38,No
201243,4,No
201244,40,No
201245,55,Yes
201246,26,No
201247,20,No
201248,42,No
201249,47,No
201250,87,Yes
201251,41,Yes
201252,34,Yes
201253,25,No
201254,99,Yes
201255,24,No
201256,31,No
201257,34,No
201258,53,No
201259,47,No
201260,43,No
201261,58,Yes
201262,72,No
201263,37,No
201264,41,No
201265,53,Yes
201266,44,No
201267,55,Yes
201268,45,No
201269,50,Yes
201270,10,No
201271,44,No
201272,45,No
201273,43,No
201274,38,No
201275,55,No
201276,61,No
201277,83,Yes
201278,47,No
201279,26,No
201280,22,No
201281,82,Yes
201282,54,No
201283,81,Yes
201284,61,No
201285,50,Yes
201286,50,No
201287,42,No
201288,38,No
201289,63,Yes
201290,35,No
201291,49,No
201292,26,No
201293,71,Yes
201294,45,No
201295,76,Yes
201296,69,Yes
201297,19,No
201298,38,No
201299,45,Yes
201300,66,Yes
201301,32,No
201302,15,No
201303,74,Yes
201304,61,Yes
201305,56,Yes
201306,34,No
201307,13,No
201308,25,No
201309,28,No
201310,42,Yes
201311,91,No
201312,46,No
201313,61,Yes
201314,52,No
201315,47,Yes
201316,52,No
201317,63,Yes
201318,22,No
201319,42,No
201320,13,No
201321,32,No
201322,74,Yes
201323,58,No
201324,24,No
201325,46,No
201326,53,Yes
201327,24,No
201328,19,No
201329,50,No
201330,42,No
201331,65,Yes
201332,42,No
201333,56,No
201334,31,No
201335,49,No
201336,57,Yes
201337,16,No
201338,29,Yes
201339,38,No
201340,82,Yes
201341,50,Yes
201342,31,No
201343,66,Yes
201344,38,No
201345,64,Yes
201346,0,No
201347,5,No
201348,50,No
201349,32,No
201350,38,No
201351,63,Yes
201352,72,No
201353,42,No
201354,2,No
201355,27,No
201356,74,No
201357,44,Yes
201358,30,No
201359,74,Yes
201360,50,Yes
201361,63,No
201362,39,No
201363,34,No
201364,56,No
201365,47,No
201366,21,No
201367,43,No
201368,52,Yes
201369,54,No
201370,46,No
201371,68,Yes
201372,34,No
201373,13,No
201374,81,Yes
201375,21,No
201376,58,Yes
201377,65,Yes
201378,35,No
201379,33,No
201380,52,Yes
201381,60,No
201382,16,No
201383,55,Yes
201384,58,No
201385,47,Yes
201386,67,Yes
201387,35,No
201388,35,No
201389,67,No
201390,40,No
201391,78,Yes
201392,76,No
201393,29,No
201394,56,No
201395,43,No
201396,60,No
201397,41,No
201398,1,No
201399,95,Yes
201400,58,No
201401,83,Yes
201402,36,Yes
201403,36,No
201404,35,No
201405,43,Yes
201406,35,No
201407,30,No
201408,40,Yes
201409,15,No
201410,28,No
201411,18,No
201412,47,No
201413,40,No
201414,47,No
201415,5,No
201416,47,No
201417,48,No
201418,42,No
201419,48,Yes
201420,31,No
201421,73,Yes
201422,74,Yes
201423,34,No
201424,63,Yes
201425,55,Yes
201426,57,No
201427,65,Yes
201428,37,No
201429,68,Yes
201430,23,No
201431,49,No
201432,63,Yes
201433,19,No
201434,37,No
201435,53,Yes
201436,43,No
201437,100,Yes
201438,48,No
201439,34,No
201440,45,No
201441,28,No
201442,68,Yes
201443,29,No
201444,30,No
201445,46,No
201446,9,No
201447,44,Yes
201448,68,Yes
201449,39,No
201450,48,No
201451,37,No
201452,30,No
201453,48,No
201454,17,No
201455,47,No
201456,27,No
201457,43,Yes
201458,81,Yes
201459,63,Yes
201460,59,Yes
201461,72,No
201462,63,No
201463,75,Yes
201464,79,Yes
201465,78,Yes
201466,63,No
201467,15,No
201468,45,No
201469,56,No
201470,31,No
201471,41,Yes
201472,47,Yes
201473,65,No
201474,68,No
201475,35,No
201476,29,No
201477,40,No
201478,46,No
201479,40,No
201480,34,No
201481,41,No
201482,55,Yes
201483,56,No
201484,84,Yes
201485,29,No
201486,84,Yes
201487,45,No
201488,73,Yes
201489,45,No
201490,78,Yes
201491,39,Yes
201492,44,No
201493,73,Yes
201494,22,No
201495,67,Yes
201496,28,No
201497,59,No
201498,22,No
201499,5,No
201500,56,Yes
201501,70,Yes
201502,36,No
201503,28,No
201504,30,No
201505,42,No
201506,7,No
201507,54,No
201508,8,No
201509,63,Yes
201510,33,No
201511,41,No
201512,42,No
201513,70,No
201514,19,No
201515,54,No
201516,74,No
201517,38,No
201518,24,No
201519,3,No
201520,30,No
201521,61,No
201522,73,Yes
201523,53,No
201524,14,No
201525,43,No
201526,54,Yes
201527,48,No
201528,36,No
201529,61,No
201530,0,No
201531,71,No
201532,41,No
201533,51,No
201534,48,No
201535,49,No
201536,42,No
201537,62,Yes
201538,39,No
201539,30,No
201540,43,No
201541,53,Yes
201542,65,Yes
201543,53,No
201544,65,Yes
201545,53,No
201546,69,Yes
201547,55,Yes
201548,52,No
201549,62,No
201550,24,No
201551,30,No
201552,100,Yes
201553,58,No
201554,22,No
201555,36,No
201556,32,No
201557,45,No
201558,40,No
201559,25,No
201560,32,No
201561,18,No
201562,55,Yes
201563,48,No
201564,50,Yes
201565,38,No
201566,42,No
201567,37,No
201568,18,No
201569,9,No
201570,41,No
201571,72,Yes
201572,55,Yes
201573,64,No
201574,35,No
201575,80,Yes
201576,63,No
201577,66,Yes
201578,31,No
201579,38,No
201580,61,No
201581,54,Yes
201582,46,No
201583,30,No
201584,51,No
201585,88,Yes
201586,44,No
201587,36,No
201588,58,Yes
201589,38,No
201590,47,Yes
201591,37,Yes
201592,47,No
201593,15,No
201594,72,Yes
201595,24,No
201596,62,Yes
201597,22,No
201598,81,Yes
201599,79,Yes
201600,65,No
201601,48,Yes
201602,69,Yes
201603,45,No
201604,60,No
201605,48,No
201606,44,No
201607,73,Yes
201608,20,No
201609,28,No
201610,36,Yes
201611,81,No
201612,36,No
201613,40,No
201614,55,Yes
201615,47,No
201616,40,Yes
201617,39,No
201618,36,No
201619,7,No
201620,48,No
201621,56,No
201622,36,No
201623,52,No
201624,18,No
201625,67,Yes
201626,21,No
201627,39,No
201628,34,Yes
201629,35,No
201630,24,No
201631,16,No
201632,30,No
201633,41,No
201634,17,No
201635,62,Yes
201636,44,Yes
201637,58,No
201638,19,No
201639,48,Yes
201640,69,Yes
201641,56,Yes
201642,22,No
201643,1,No
201644,62,Yes
201645,17,No
201646,26,No
201647,36,No
201648,33,No
201649,8,No
201650,77,Yes
201651,31,No
201652,54,Yes
201653,26,No
201654,49,No
201655,18,No
201656,38,No
201657,26,No
201658,15,No
201659,18,No
201660,38,No
201661,36,No
201662,48,Yes
201663,59,Yes
201664,18,No
201665,71,Yes
201666,42,No
201667,45,No
201668,56,Yes
201669,20,No
201670,56,No
201671,65,Yes
201672,22,No
201673,37,Yes
201674,25,No
201675,68,Yes
201676,66,No
201677,67,No
201678,38,No
201679,31,No
201680,19,No
201681,36,No
201682,59,No
201683,55,Yes
201684,28,No
201685,54,No
201686,46,No
201687,43,No
201688,46,No
201689,36,No
201690,49,Yes
201691,58,Yes
201692,58,No
201693,50,Yes
201694,23,No
201695,59,Yes
201696,66,Yes
201697,45,Yes
201698,9,No
201699,46,No
201700,41,No
201701,51,Yes
201702,43,No
201703,24,No
201704,56,No
201705,35,No
201706,17,No
201707,24,No
201708,51,No
201709,44,No
201710,85,Yes
201711,41,No
201712,63,No
201713,98,Yes
201714,45,No
201715,32,No
201716,72,Yes
201717,83,No
201718,41,No
201719,41,No
201720,41,No
201721,45,No
201722,63,No
201723,37,No
201724,38,No
201725,46,Yes
201726,60,No
201727,15,No
201728,45,Yes
201729,71,Yes
201730,67,No
201731,15,No
201732,26,No
201733,49,No
201734,37,No
201735,0,No
201736,27,No
201737,51,No
201738,93,Yes
201739,38,No
201740,51,Yes
201741,30,No
201742,19,No
201743,61,Yes
201744,53,No
201745,22,No
201746,13,No
201747,56,No
201748,71,Yes
201749,62,No
201750,65,No
201751,71,Yes
201752,44,No
201753,61,No
201754,87,Yes
201755,40,No
201756,41,No
201757,59,No
201758,37,No
201759,61,Yes
201760,80,Yes
201761,70,Yes
201762,55,No
201763,62,Yes
201764,22,No
201765,44,No
201766,3,No
201767,28,No
201768,59,Yes
201769,79,Yes
201770,60,No
201771,43,No
201772,60,No
201773,19,No
201774,37,No
201775,44,No
201776,65,No
201777,43,No
201778,64,No
201779,48,Yes
201780,38,No
201781,1,No
201782,66,Yes
201783,33,No
201784,18,No
201785,69,Yes
201786,44,No
201787,44,No
201788,53,No
201789,39,No
201790,62,Yes
201791,20,No
201792,69,No
201793,51,No
201794,33,No
201795,38,No
201796,46,No
201797,55,Yes
201798,50,No
201799,16,No
201800,54,No
201801,7,No
201802,46,No
201803,16,No
201804,63,No
201805,58,No
201806,31,No
201807,47,No
201808,43,No
201809,41,No
201810,23,No
201811,35,No
201812,49,No
201813,52,Yes
201814,22,No
201815,74,Yes
201816,34,No
201817,63,Yes
201818,50,Yes
201819,34,No
201820,24,No
201821,61,Yes
201822,79,Yes
201823,78,Yes
201824,15,No
201825,32,No
201826,30,No
